Id_Seq	Index
AT3G12570	1
PT10s21340	2
PT08s05420	3
VV01656500	4
CS1723801	5
ZM0638751	6
ZM0484823	7
OS03g16910	8
ZM1964332	9
ZM1320091	10
ZM0623971	11
OS01g05790	12
ZM0181891	13
OS01g62300	14
VV03419300	15
GM19g35550	16
GM03g32840	17
GM13g19310	18
GM10g04960	19
GM13g19320	20
GM10g04980	21
CS0660902	22
AT2G37570	23
CS1753601	24
AT5G02480	25
ZM4722661	26
OS03g06390	27
PT02s05200	28
GM02g16520	29
CS2543501	30
PT10s09640	31
PT08s15390	32
CS2394401	33
VV01799400	34
GM20g28540	35
GM10g39250	36
AT4G14830	37
AT3G22530	38
GM01g44780	39
ZM4694771	40
ZM0276951	41
OS07g07670	42
OS10g29549	43
CS1852102	44
GM14g02970	45
GM02g45810	46
VV02078300	47
PT14s13790	48
AT1G06460	49
PT02s00690	50
GM15g05270	51
GM08g19750	52
AT1G20870	53
VV01342300	54
PT01s24980	55
AT1G76440	56
VV01342200	57
PT13s02570	58
PT13s02560	59
CS0916301	60
VV00003300	61
VV00003000	62
PT13s02550	63
AT1G54850	64
VV00003400	65
CS0916401	66
AT1G54840	67
GM20g37630	68
GM10g29680	69
PT02s00550	70
GM06g01640	71
GM04g01560	72
VV01343900	73
AT1G20910	74
AT1G76510	75
PT11s14850	76
PT01s46070	77
PT04s21870	78
GM16g21840	79
GM09g32820	80
GM11g09370	81
CS3232801	82
AT2G17410	83
ZM4218999	84
ZM1101091	85
OS02g48370	86
VV02643500	87
ZM1806544	88
ZM1058071	89
OS06g41730	90
PT04s19890	91
PT1310s00b	92
PT04s19840	93
PT1310s00a	94
PT04s19860	95
PT09s15010	96
PT09s05450	97
PT09s05440	98
PT09s04410	99
PT0187s002	100
AT2G29500	101
AT1G59860	102
AT1G07400	103
PT19s11060	104
PT09s15020	105
GM13g24460	106
GM07g32110	107
GM07g32030	108
GM07g32090	109
GM13g24510	110
GM13g24480	111
GM13g24440	112
GM13g24490	113
GM07g32050	114
GM07g32070	115
GM08g07350	116
GM08g07340	117
GM08g07330	118
GM06g16490	119
GM04g38530	120
PT19s11050	121
PT10s20300	122
GM14g06910	123
PT08s06260	124
VV4227283	125
VV4195571	126
CS1647901	127
CS1646801	128
CS1647001	129
CS1646901	130
CS1647801	131
CS1647601	132
CS1363901	133
VV8901781	134
PT06s09460	135
GM01g26570	136
VV6524262	137
VV4149323	138
VV4113361	139
PT01s24560	140
VV4234777	141
GM14g06900	142
GM02g42000	143
ZM4792601	144
ZM2082043	145
ZM0463821	146
OS03g16040	147
OS03g15960	148
OS03g16030	149
