# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/16/PGCleanTarget/Train11/Training/Hmmr-Build/hmm_preGroup_1.txt
# target sequence database:        /home/arjen/16/PGCleanTarget/Train11/TrSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_preGroup_1  [M=378]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
    ------- ------ -----    ------- ------ -----   ---- --  -------- -----------
   8.5e-228  748.5  23.4   9.5e-228  748.4  23.4    1.0  1  I1BYM7_1  
   3.6e-225  739.9  23.8   4.1e-225  739.7  23.8    1.0  1  I1BYN6_1  
   3.2e-209  687.4  32.5   3.6e-209  687.2  32.5    1.0  1  I1BYN5_1  
   9.7e-200  656.2  34.1   1.2e-199  655.9  34.1    1.1  1  I1BPS7_1  
    6.9e-65  212.3  15.4    2.7e-64  210.4  15.4    1.8  1  Q0CGP0_1  
    2.5e-63  207.2  20.0    7.2e-63  205.7  20.0    1.6  1  Q27UB3_1  
    1.2e-62  204.9  20.2    3.5e-62  203.4  20.2    1.6  1  Q00293_1  
    3.1e-62  203.6  18.9    1.1e-61  201.8  18.9    1.7  1  Q4WCZ8_2  
    3.9e-62  203.3  18.0    1.3e-61  201.5  18.0    1.7  1  A1DLC1_2  
    1.1e-61  201.8  18.3    3.7e-61  200.0  18.3    1.7  1  Q00359_1  
    2.1e-61  200.9  15.5    6.5e-61  199.2  15.5    1.6  1  B8NG16_1  
    1.3e-59  194.9  14.9    4.4e-59  193.2  14.9    1.7  1  Q5ASG9_1  
    7.2e-54  176.1   4.8    9.8e-54  175.6   4.8    1.0  1  Q9LW07_1  
    1.3e-53  175.2  11.1    1.7e-53  174.8  11.1    1.1  1  Q9SFB7_2  
      9e-53  172.4   1.9    1.1e-52  172.1   1.9    1.0  1  Q39786_1  
    1.3e-52  171.9   1.7    1.6e-52  171.6   1.7    1.0  1  Q39766_1  
    7.3e-52  169.5   8.0    9.1e-52  169.1   8.0    1.1  1  Q27UB1_1  
    1.7e-51  168.3   9.4    2.3e-51  167.8   9.4    1.1  1  Q94AJ5_1  
    1.1e-50  165.5  13.1    2.5e-50  164.4  13.1    1.4  1  Q27UB2_1  
    1.3e-50  165.3   3.8    1.6e-50  165.0   3.8    1.0  1  Q0C7H7_1  
    2.8e-50  164.2  23.5    3.4e-50  163.9  23.5    1.0  1  Q8RY29_2  
    4.1e-50  163.7  12.1    5.3e-50  163.3  12.1    1.0  1  Q02096_1  
    4.7e-50  163.5   2.4    5.7e-50  163.2   2.4    1.0  1  A1DAX2_1  
    4.9e-50  163.4   2.7    6.3e-50  163.1   2.7    1.0  1  B0YAA4_2  
    4.9e-50  163.4   2.7    6.3e-50  163.1   2.7    1.0  1  Q4WBK6_2  
    7.1e-50  162.9  16.4    9.1e-50  162.6  16.4    1.1  1  P05117_1  
    7.1e-50  162.9  15.5    9.3e-50  162.5  15.5    1.0  1  P35336_1  
    1.1e-49  162.2  21.5    1.4e-49  161.9  21.5    1.1  1  O23147_1  
    1.3e-49  162.1   7.9    1.7e-49  161.7   7.9    1.1  1  Q9FY19_1  
      3e-49  160.8   5.4    4.3e-49  160.3   5.4    1.1  1  Q7M1E7_1  
    3.5e-49  160.6   7.9    4.3e-49  160.3   7.9    1.0  1  Q05967_1  
    3.7e-49  160.6  10.6    4.6e-49  160.2  10.6    1.0  1  Q5B7U1_1  
    8.9e-48  156.0   1.3    1.2e-47  155.6   1.3    1.0  1  B8NX60_1  
    1.1e-47  155.6  18.6    1.5e-47  155.3  18.6    1.0  1  A2QK83_1  
    1.6e-47  155.2   5.0      2e-47  154.8   5.0    1.1  1  P43212_1  
    1.7e-47  155.1  18.2    2.4e-47  154.6  18.2    1.1  1  P48978_1  
      2e-47  154.8   1.3    2.7e-47  154.4   1.3    1.0  1  Q2TW03_2  
    4.5e-47  153.7  16.8    5.7e-47  153.3  16.8    1.0  1  B8NPS8_1  
    4.6e-47  153.7   8.7    7.3e-47  153.0   8.7    1.3  1  P49063_2  
    6.2e-47  153.2   2.5    7.5e-47  153.0   2.5    1.0  1  Q873X6_1  
    1.7e-46  151.8  18.3    2.2e-46  151.4  18.3    1.0  1  Q9UUZ2_1  
    4.9e-46  150.3  13.4    6.1e-46  150.0  13.4    1.0  1  Q4WBT4_2  
    8.1e-46  149.6   7.3    1.1e-45  149.2   7.3    1.0  1  P48979_1  
    9.3e-46  149.4  16.8    1.2e-45  149.0  16.8    1.0  1  Q2UBD8_1  
    1.6e-45  148.6  14.8    2.1e-45  148.2  14.8    1.1  1  O22818_1  
    1.8e-45  148.4  14.5    2.2e-45  148.1  14.5    1.0  1  B0Y9F8_2  
    5.2e-45  146.9  10.6    5.9e-45  146.7  10.6    1.0  1  P24548_1  
    4.2e-44  143.9   5.4    5.1e-44  143.6   5.4    1.0  1  P35337_1  
