# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/16/PLC/TargetE/Application/Hmmr-Build/hmm_Group_5.txt
# target sequence database:        /home/arjen/16/PLC/TargetE/ApSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_Group_5  [M=639]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence    Description
    ------- ------ -----    ------- ------ -----   ---- --  --------    -----------
          0 1294.0   6.6          0 1293.8   6.6    1.0  1  PLCZ1_MACFA  
          0 1264.3   8.1          0 1264.1   8.1    1.0  1  0000000310   
          0 1262.8   5.9          0 1262.7   5.9    1.0  1  0000000308   
          0 1256.2   6.3          0 1256.0   6.3    1.0  1  0000000305   
          0 1251.8   9.7   1.5e-198  657.7   3.0    2.0  2  0000000303   
          0 1251.6   6.1          0 1251.4   6.1    1.0  1  PLCZ1_PIG    
          0 1250.1  10.1          0 1249.9  10.1    1.0  1  0000000312   
          0 1248.2   9.5   2.3e-198  657.1   2.8    2.0  2  0000000297   
          0 1248.2   9.5   2.3e-198  657.1   2.8    2.0  2  PLCZ1_HUMAN  
          0 1248.2  10.1   4.9e-198  656.0   2.9    2.0  2  0000000299   
          0 1246.6  10.4   1.2e-198  658.0   3.1    2.0  2  0000000301   
          0 1245.9   9.4   1.2e-197  654.7   2.7    2.0  2  0000000298   
          0 1245.2   9.1   3.6e-197  653.1   2.1    2.0  2  0000000300   
          0 1243.1  12.5   4.3e-197  652.9   4.7    2.0  2  0000000302   
          0 1241.1   0.4          0 1240.9   0.4    1.0  1  0000000307   
          0 1239.1   9.1   3.2e-196  650.0   2.8    2.0  2  0000000304   
          0 1228.3   3.8          0 1228.1   3.8    1.0  1  0000000296   
          0 1228.3   3.8          0 1228.1   3.8    1.0  1  PLCZ1_BOVIN  
          0 1222.5   0.9          0 1222.3   0.9    1.0  1  0000000318   
          0 1222.5   0.9          0 1222.3   0.9    1.0  1  PLCZ1_MOUSE  
          0 1217.1  12.5     1e-192  638.5   5.6    2.0  2  0000000309   
          0 1212.0   6.3          0 1211.8   6.3    1.0  1  0000000314   
          0 1204.1   0.1          0 1203.9   0.1    1.0  1  0000000316   
          0 1204.1   0.1          0 1203.9   0.1    1.0  1  PLCZ1_RAT    
          0 1203.3  15.0   5.6e-194  642.6   5.8    2.0  2  0000000311   
          0 1183.3   4.2          0 1183.1   4.2    1.0  1  0000000315   
          0 1147.4  10.0          0 1147.2  10.0    1.0  1  0000000313   
          0 1137.6   0.8          0 1137.4   0.8    1.0  1  0000000320   
          0 1137.6   0.8          0 1137.4   0.8    1.0  1  PLCZ1_CHICK  
          0 1094.2   0.7          0 1094.0   0.7    1.0  1  0000000321   
          0 1052.8   0.2          0 1052.7   0.2    1.0  1  0000000306   
          0 1026.8   0.1          0 1026.6   0.1    1.0  1  0000000317   
   5.3e-303 1002.8   8.2     6e-303 1002.6   8.2    1.0  1  0000000322   
   1.7e-296  981.3   6.1   1.9e-296  981.1   6.1    1.0  1  0000000319   
   5.7e-213  705.3   2.3   6.9e-213  705.1   2.3    1.0  1  0000000281   
   3.6e-210  696.1   1.2   5.2e-210  695.6   1.2    1.1  1  0000000279   
   5.2e-210  695.6   5.1   1.1e-108  360.9   5.4    2.0  2  0000000278   
   2.1e-209  693.5   1.3   1.6e-208  690.7   1.3    1.9  1  0000000272   
   2.7e-209  693.2   0.0   5.8e-209  692.1   0.0    1.5  1  0000000284   
   3.9e-209  692.7   4.6   7.3e-108  358.1   2.4    2.0  2  0000000280   
   2.2e-207  686.9   1.4   1.5e-205  680.8   1.4    2.0  1  0000000265   
   2.6e-207  686.7   0.4   2.9e-207  686.5   0.4    1.0  1  0000000328   
   3.4e-207  686.3   0.0   4.5e-207  685.9   0.0    1.1  1  0000000269   
   4.6e-207  685.8   0.4   2.5e-204  676.8   0.4    2.0  1  0000000277   
   1.3e-206  684.4   2.3   1.3e-108  360.6   0.7    2.0  2  PLCD4_XENLA  
   2.6e-206  683.3   0.0   4.6e-206  682.5   0.0    1.3  1  0000000270   
   3.5e-206  682.9   0.9   3.8e-204  676.2   0.9    2.0  1  0000000273   
   9.2e-206  681.5   0.0   1.5e-109  363.7   0.0    2.1  2  0000000282   
   1.3e-205  681.0   3.6   4.9e-203  672.5   3.6    2.1  1  0000000275   
   2.1e-205  680.3   0.2   2.4e-205  680.2   0.2    1.0  1  0000000331   
   4.1e-205  679.4   0.0   6.6e-205  678.7   0.0    1.2  1  0000000266   
   7.1e-205  678.6   0.2   7.9e-205  678.4   0.2    1.0  1  0000000329   
   8.8e-205  678.3   0.3   6.8e-103  341.7   0.0    2.0  2  0000000271   
   2.7e-204  676.6   0.1   3.1e-204  676.5   0.1    1.0  1  0000000330   
     3e-204  676.5   0.5     7e-203  672.0   0.5    2.0  1  0000000267   
   3.4e-204  676.3   1.2   5.5e-203  672.3   1.2    2.0  1  0000000274   
     8e-204  675.1   0.5   9.5e-103  341.2   0.1    2.0  2  0000000268   
   1.3e-203  674.4   0.0   1.5e-203  674.2   0.0    1.0  1  0000000324   
   5.6e-203  672.3   1.0   1.1e-200  664.8   1.0    2.0  1  0000000263   
   1.5e-202  670.9   0.0   1.7e-202  670.8   0.0    1.0  1  0000000325   
   1.6e-201  667.5   0.0   4.7e-201  666.0   0.0    1.6  1  0000000239   
   1.6e-201  667.5   0.0   4.7e-201  666.0   0.0    1.6  1  PLCD4_PIG    
     4e-201  666.2   0.1   4.5e-201  666.0   0.1    1.0  1  0000000323   
   4.1e-201  666.2   3.2   1.9e-200  663.9   3.2    1.8  1  0000000327   
   4.3e-201  666.1   3.1   5.1e-105  348.7   1.4    2.0  2  0000000262   
   6.6e-201  665.5   0.0   1.1e-200  664.7   0.0    1.2  1  0000000242   
   1.2e-200  664.7   1.1     5e-199  659.3   1.1    2.0  1  0000000176   
   7.6e-199  658.7   0.0   1.4e-198  657.8   0.0    1.3  1  0000000249   
   8.4e-199  658.5   0.0   1.1e-198  658.2   0.0    1.0  1  0000000260   
   8.6e-199  658.5   0.1   9.4e-198  655.1   0.1    1.9  1  0000000244   
   8.6e-199  658.5   0.1   9.4e-198  655.1   0.1    1.9  1  PLCD4_HUMAN  
   1.7e-198  657.5   0.1   1.9e-197  654.0   0.1    1.9  1  0000000247   
   1.9e-198  657.4   0.0     2e-197  654.0   0.0    1.9  1  0000000248   
     3e-198  656.7   1.0   5.7e-196  649.2   1.0    2.0  1  0000000264   
   3.2e-198  656.6   0.0   4.7e-198  656.0   0.0    1.1  1  0000000245   
   3.7e-198  656.4   0.3   4.6e-198  656.1   0.3    1.1  1  0000000335   
   4.5e-198  656.1   0.0   4.9e-197  652.7   0.0    1.9  1  PLCD4_PONAB  
     5e-198  656.0   0.1   6.5e-198  655.6   0.1    1.1  1  0000000236   
   5.4e-198  655.9   0.0   1.2e-197  654.7   0.0    1.4  1  0000000241   
   6.9e-198  655.5   0.1   7.6e-197  652.1   0.1    1.9  1  0000000246   
   1.5e-197  654.4   0.0   2.7e-197  653.5   0.0    1.3  1  0000000243   
   1.5e-197  654.4   0.1   1.5e-196  651.1   0.1    1.9  1  0000000257   
   2.7e-197  653.6   0.0   4.7e-197  652.7   0.0    1.3  1  0000000259   
   3.2e-197  653.3   0.0   6.5e-197  652.3   0.0    1.4  1  0000000258   
   3.9e-197  653.0   0.0   5.6e-197  652.5   0.0    1.1  1  0000000251   
   7.2e-197  652.1   0.0   1.2e-196  651.4   0.0    1.3  1  PLCD4_MACFA  
   7.6e-197  652.1   0.0     1e-196  651.6   0.0    1.0  1  PLCD4_BOVIN  
   7.7e-197  652.1   0.0     1e-196  651.6   0.0    1.0  1  0000000240   
   4.3e-196  649.6   0.0   5.3e-196  649.3   0.0    1.0  1  0000000226   
   4.8e-196  649.4   0.5   5.8e-196  649.2   0.5    1.1  1  0000000333   
   4.9e-196  649.4   8.8   2.7e-194  643.7   8.8    2.0  1  0000000171   
   1.3e-195  648.0   1.1     2e-194  644.1   1.1    2.0  1  0000000237   
   1.3e-195  648.0   1.1     2e-194  644.1   1.1    2.0  1  PLCD4_MOUSE  
   3.4e-195  646.6   0.3   4.4e-195  646.3   0.3    1.1  1  0000000334   
   7.6e-195  645.5   8.7   4.3e-193  639.7   8.7    2.0  1  0000000169   
   8.5e-195  645.3   8.7   4.7e-193  639.5   8.7    2.0  1  0000000170   
   9.4e-195  645.1   0.2   1.2e-194  644.8   0.2    1.0  1  0000000232   
     1e-194  645.0   7.2   4.6e-101  335.6   2.7    2.1  2  0000000201   
     8e-194  642.1   0.0   1.4e-191  634.7   0.0    2.0  1  0000000252   
   8.9e-194  641.9   2.7   2.3e-101  336.6   1.7    2.1  2  0000000198   
   8.9e-194  641.9   3.0   1.6e-101  337.1   1.9    2.2  2  0000000199   
