# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/1_Local/1_HMMerCTTer/16/PGCleanTarget/4Target/Application/Hmmr-Build/hmm_Group_4.txt
# target sequence database:        /home/arjen/1_Local/1_HMMerCTTer/16/PGCleanTarget/4Target/ApSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_Group_4  [M=1946]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence   Description
    ------- ------ -----    ------- ------ -----   ---- --  --------   -----------
          0 4569.2   9.1          0 4569.1   9.1    1.0  1  EFAn035883  
          0 4569.2   9.1          0 4569.1   9.1    1.0  1  EFAn044982  
          0 4558.8   9.6          0 4558.6   9.6    1.0  1  EFAn068966  
          0 4558.8   9.6          0 4558.6   9.6    1.0  1  EFAn079505  
          0 1110.6  26.9          0 1110.4  26.9    1.0  1  EFAn009059  
          0 1110.6  26.9          0 1110.4  26.9    1.0  1  EFAn115299  
          0 1110.6  26.9          0 1110.4  26.9    1.0  1  EFAn123136  
          0 1110.6  26.9          0 1110.4  26.9    1.0  1  EFAn148368  
          0 1109.4  27.6          0 1109.3  27.6    1.0  1  EFAn140588  
          0 1109.4  27.6          0 1109.3  27.6    1.0  1  EFAn098242  
          0 1109.4  27.6          0 1109.3  27.6    1.0  1  EFAn115298  
          0 1067.1  29.8          0 1066.9  29.8    1.0  1  EFAn135620  
          0 1067.0  29.8          0 1066.9  29.8    1.0  1  EFAn097518  
          0 1054.6  30.7          0 1054.5  30.7    1.0  1  EFAn134992  
          0 1054.6  30.7          0 1054.4  30.7    1.0  1  EFAn097076  
   7.9e-291  964.6  26.3   9.3e-291  964.4  26.3    1.0  1  A2R3G4_1    
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn000877  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn012147  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn012148  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn012149  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn027357  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn038442  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn047769  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn047770  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn047771  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn062756  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn071229  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn082507  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn082851  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn083103  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn101155  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn144225  
   7.9e-291  964.6  26.3   9.4e-291  964.4  26.3    1.0  1  EFAn149756  
   2.5e-286  949.7  30.6   3.1e-286  949.4  30.6    1.0  1  EFAf008679  
   3.1e-286  949.4  30.4   3.8e-286  949.1  30.4    1.0  1  B8NKB9_2    
   8.2e-285  944.7  22.9   9.5e-285  944.5  22.9    1.0  1  B0Y0Q3_1    
   2.5e-283  939.8  23.3   2.9e-283  939.6  23.3    1.0  1  Q4WV23_1    
   4.4e-283  939.0  22.2   5.1e-283  938.7  22.2    1.0  1  A1DED1_1    
   4.4e-283  938.9  22.2   5.1e-283  938.7  22.2    1.0  1  EFNfi06838  
   3.4e-281  932.7  26.3     4e-281  932.4  26.3    1.0  1  EFAn117668  
   7.1e-281  931.6  29.0   8.1e-281  931.4  29.0    1.0  1  A2QYE5_1    
   2.8e-280  929.7  21.9   3.3e-280  929.4  21.9    1.0  1  Q0CFC7_1    
   4.2e-280  929.1  28.1   4.7e-280  928.9  28.1    1.0  1  EFAn136889  
   4.2e-280  929.1  28.1   4.7e-280  928.9  28.1    1.0  1  EFAn139257  
   4.2e-280  929.1  28.1   4.7e-280  928.9  28.1    1.0  1  EFAn142224  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn002910  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn014924  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn014925  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn014926  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn029459  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn039997  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn050557  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn050558  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn050559  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn064220  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn073256  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn086140  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn086430  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn086501  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn108631  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn118986  
   4.2e-280  929.1  28.1   4.8e-280  928.9  28.1    1.0  1  EFAn145204  
   5.1e-280  928.8  21.9     6e-280  928.5  21.9    1.0  1  Q2TWN8_1    
   5.2e-280  928.8  21.9   6.1e-280  928.5  21.9    1.0  1  EFAo011607  
   1.1e-278  924.3  27.5   1.3e-278  924.2  27.5    1.0  1  P87160_1    
   4.4e-276  915.7  23.7   5.6e-276  915.4  23.7    1.0  1  Q5ARE6_2    
   8.2e-273  904.9  33.9   9.5e-273  904.7  33.9    1.0  1  A2QXE8_2    
   3.9e-272  902.6  21.8   4.5e-272  902.4  21.8    1.0  1  EFAf008518  
   1.3e-271  901.0  21.4   1.4e-271  900.8  21.4    1.0  1  EFAo009372  
   1.8e-271  900.4  29.7     2e-271  900.3  29.7    1.0  1  Q00001_1    
   1.6e-263  874.1  36.8   3.7e-263  872.9  36.8    1.5  1  Q2U7A4_1    
   1.7e-263  874.0  36.8   3.7e-263  872.9  36.8    1.5  1  EFAo008074  
   5.7e-263  872.3  20.7   7.2e-263  871.9  20.7    1.0  1  EFAni02694  
     8e-246  815.4  25.5   8.9e-246  815.2  25.5    1.0  1  EFAn024214  
     8e-246  815.4  25.5   8.9e-246  815.2  25.5    1.0  1  EFAn024215  
     8e-246  815.4  25.5   8.9e-246  815.2  25.5    1.0  1  EFAn024216  
     8e-246  815.4  25.5   8.9e-246  815.2  25.5    1.0  1  EFAn059879  
     8e-246  815.4  25.5   8.9e-246  815.2  25.5    1.0  1  EFAn059880  
     8e-246  815.4  25.5   8.9e-246  815.2  25.5    1.0  1  EFAn059881  
     3e-239  793.6  18.1   3.8e-239  793.2  18.1    1.0  1  EFAo001964  
     3e-239  793.6  14.2   3.5e-239  793.4  14.2    1.0  1  EFAb001087  
   2.3e-224  744.3  29.6   2.3e-224  744.3  29.6    1.4  1  EFBc005840  
   1.7e-223  741.4  13.0   1.8e-223  741.2  13.0    1.0  1  EFPtr10895  
   6.7e-220  729.4  19.7   7.5e-220  729.3  19.7    1.0  1  EFAn149757  
   8.4e-210  696.0  22.9   9.3e-210  695.8  22.9    1.0  1  EFAn130406  
   8.5e-210  695.9  22.9   9.4e-210  695.8  22.9    1.0  1  EFAn097167  
   9.4e-210  695.8  22.9     1e-209  695.6  22.9    1.0  1  EFAn130206  
   9.5e-210  695.8  22.9   1.1e-209  695.6  22.9    1.0  1  EFAn035719  
   9.5e-210  695.8  22.9   1.1e-209  695.6  22.9    1.0  1  EFAn079339  
   9.5e-210  695.8  22.9   1.1e-209  695.6  22.9    1.0  1  EFAn098216  
   3.9e-205  680.5  22.2   4.3e-205  680.3  22.2    1.0  1  EFAn133078  
   3.9e-205  680.5  22.2   4.4e-205  680.3  22.2    1.0  1  EFAn008901  
   3.9e-205  680.5  22.2   4.4e-205  680.3  22.2    1.0  1  EFAn097317  
   7.8e-205  679.5  24.2   9.3e-205  679.2  24.2    1.0  1  EFSs007002  
   4.7e-202  670.3  18.8   5.6e-202  670.0  18.8    1.0  1  EFFv004553  
   1.1e-201  669.0  31.4   1.3e-201  668.8  31.4    1.0  1  EFBc002732  
   7.7e-201  666.2  21.2   8.5e-201  666.1  21.2    1.0  1  EFAn122990  
   6.8e-198  656.5  30.6   8.1e-198  656.2  30.6    1.0  1  EFSs008181  
   8.6e-189  626.3  17.5   9.7e-189  626.1  17.5    1.0  1  EFFg004398  
   1.4e-181  602.4  23.1   2.5e-147  488.8  15.5    2.0  2  EFBc004657  
   9.8e-181  599.6  19.4   1.1e-180  599.4  19.4    1.0  1  EFPpl01559  
   1.1e-175  582.8  17.4   1.2e-175  582.7  17.4    1.0  1  EFPpl15036  
   3.4e-175  581.2  18.1   3.8e-175  581.0  18.1    1.0  1  EFPc002315  
   6.1e-171  567.1  14.0   7.1e-171  566.9  14.0    1.0  1  EFFo006774  
   1.2e-170  566.2  14.0   1.4e-170  565.9  14.0    1.0  1  EFFo006775  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn037666  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn046436  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn062067  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn062068  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn070338  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn081224  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn100354  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn100554  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn117003  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn124105  
   1.9e-169  562.1  13.8   2.3e-169  561.9  13.8    1.0  1  EFAn149153  
   6.2e-169  560.4  14.7   6.9e-169  560.3  14.7    1.0  1  EFAn010774  
   1.1e-168  559.7  15.0   1.3e-168  559.4  15.0    1.0  1  EFAn138487  
   2.1e-167  555.4  16.6   2.5e-167  555.1  16.6    1.0  1  EFAf007553  
     1e-166  553.1  16.9   1.2e-166  552.9  16.9    1.0  1  EFAn141343  
   3.9e-166  551.2  15.3   4.4e-166  551.0  15.3    1.0  1  EFAo005470  
   4.9e-164  544.2  13.1   5.9e-164  543.9  13.1    1.0  1  EFAn062066  
   4.9e-164  544.2  13.1   5.9e-164  543.9  13.1    1.0  1  EFAn100443  
   4.9e-164  544.2  13.1   5.9e-164  543.9  13.1    1.0  1  EFAn117002  
   2.4e-161  535.3  16.0   2.7e-161  535.1  16.0    1.0  1  EFAn135535  
   1.6e-128  426.4  13.9   1.9e-128  426.2  13.9    1.0  1  EFAn026399  
   1.6e-128  426.4  13.9   1.9e-128  426.2  13.9    1.0  1  EFAn026400  
   2.9e-128  425.6  17.3   3.5e-128  425.3  17.3    1.0  1  EFAn101156  
   3.1e-123  408.9  12.7   3.6e-123  408.7  12.7    1.0  1  EFAn026398  
   3.3e-117  388.9  13.3    6.1e-92  305.1   8.7    2.0  2  EFFo003937  
   2.7e-116  385.9   5.5   3.4e-116  385.6   5.5    1.0  1  EFMg099866  
   2.2e-115  382.9   5.1   2.6e-115  382.6   5.1    1.0  1  EFMg064203  
   3.5e-115  382.2  13.5   4.9e-112  371.8  13.5    2.0  1  EFFv007515  
   3.9e-113  375.4  11.0   5.1e-113  375.0  11.0    1.0  1  EFTm000268  
   4.2e-113  375.3  10.8    1.6e-87  290.5   5.4    2.0  2  EFMg013400  
   4.2e-113  375.3  10.8    1.6e-87  290.5   5.4    2.0  2  EFMg039078  
   4.2e-113  375.3  10.8    1.6e-87  290.5   5.4    2.0  2  EFMg039079  
   4.2e-113  375.3  10.8    1.6e-87  290.5   5.4    2.0  2  EFMg099503  
   1.2e-112  373.8   9.6   3.6e-112  372.2   9.6    1.6  1  EFMg059612  
   1.5e-112  373.5   9.3    1.4e-87  290.6   5.4    2.0  2  EFMg063758  
   2.2e-111  369.6   9.0    1.4e-89  297.3   7.1    2.0  2  EFAo003159  
    4.3e-98  325.5  10.3    4.6e-83  275.7   8.6    2.0  2  EFNf000649  
    1.9e-91  303.5   6.9    2.2e-91  303.3   6.9    1.0  1  EFAf000092  
      2e-85  283.5   6.8    2.6e-85  283.1   6.8    1.0  1  EFMg009411  
    1.8e-78  260.4  14.4    2.1e-78  260.3  14.4    1.0  1  EFAn101932  
    3.9e-70  232.8  15.3    1.4e-42  141.5   8.4    3.0  3  EFAn074642  
    1.2e-56  188.1   4.1    1.9e-34  114.5   1.2    2.0  2  EFAn030878  
    4.9e-54  179.4  10.3    8.2e-51  168.8   4.8    2.0  2  EFMg053488  
    6.8e-33  109.3  11.6    2.2e-32  107.7  11.6    1.6  1  EPPpe04623  
    2.2e-31  104.4  14.4    1.7e-30  101.4  14.4    1.8  1  EPPt039925  
    3.8e-31  103.6   9.2    4.7e-31  103.2   9.2    1.0  1  EPMt016174  
