# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/16/PLC/ScrutAtTrain/Application/Hmmr-Build/hmm_Group_8.txt
# target sequence database:        /home/arjen/16/PLC/ScrutAtTrain/ApSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_Group_8  [M=1939]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence    Description
    ------- ------ -----    ------- ------ -----   ---- --  --------    -----------
          0 3079.9   5.4          0 3079.6   5.4    1.0  1  0000000702   
          0 3079.7   9.4          0 3079.5   9.4    1.1  1  0000000698   
          0 3079.7   9.4          0 3079.5   9.4    1.1  1  PLCE1_HUMAN  
          0 3070.6   6.7          0 3070.3   6.7    1.0  1  0000000693   
          0 3067.6   8.6          0 3067.4   8.6    1.1  1  0000000704   
          0 3064.5   7.9          0 3064.1   7.9    1.1  1  0000000705   
          0 3060.7   9.4          0 3060.4   9.4    1.0  1  0000000699   
          0 3059.8   5.5          0 3059.5   5.5    1.1  1  0000000697   
          0 3058.1   8.1          0 3057.9   8.1    1.0  1  0000000703   
          0 3056.9   5.8          0 3056.6   5.8    1.0  1  0000000695   
          0 3041.6   0.0          0 3041.3   0.0    1.0  1  0000000708   
          0 3039.9   0.1          0 3039.6   0.1    1.0  1  0000000710   
          0 3024.4   5.4          0 3024.1   5.4    1.0  1  0000000694   
          0 3020.0   1.2          0 3019.7   1.2    1.0  1  0000000709   
          0 3011.6   1.0          0 3011.3   1.0    1.0  1  0000000706   
          0 2998.4   1.1          0 2998.2   1.1    1.0  1  0000000707   
          0 2994.9   0.5          0 2993.2   0.1    1.3  1  0000000711   
          0 2987.1   8.8          0 2986.8   8.8    1.1  1  0000000713   
          0 2984.7   0.1          0 2984.5   0.1    1.0  1  0000000690   
          0 2984.7   0.1          0 2984.5   0.1    1.0  1  PLCE1_MOUSE  
          0 2975.8   0.0          0 2975.5   0.0    1.0  1  0000000692   
          0 2975.4   0.0          0 2975.1   0.0    1.0  1  0000000691   
          0 2975.4   0.0          0 2975.1   0.0    1.0  1  PLCE1_RAT    
          0 2974.8   1.6          0 2974.6   1.6    1.0  1  0000000734   
          0 2970.5   0.1          0 2970.1   0.1    1.0  1  0000000735   
          0 2969.2   5.9          0 2968.8   5.9    1.0  1  0000000696   
          0 2963.1   4.3          0 2824.4   0.0    2.0  2  0000000700   
          0 2962.2   4.0          0 2962.0   4.0    1.1  1  0000000712   
          0 2958.7   0.1          0 2958.3   0.1    1.0  1  0000000736   
          0 2957.8   0.3          0 2957.4   0.3    1.0  1  0000000739   
          0 2956.7   0.2          0 2956.3   0.2    1.0  1  0000000737   
          0 2943.6   0.3          0 2943.2   0.3    1.0  1  0000000738   
          0 2912.7   0.1          0 2912.5   0.1    1.0  1  0000000733   
          0 2912.4   4.8          0 2912.1   4.8    1.0  1  0000000714   
          0 2895.6   3.5          0 2895.3   3.5    1.0  1  0000000719   
          0 2883.9   7.8          0 2883.7   7.8    1.0  1  0000000718   
          0 2860.4   9.5          0 2860.0   9.5    1.0  1  0000000715   
          0 2855.4   0.0          0 2854.4   0.0    1.3  1  0000000742   
          0 2847.3   8.6          0 2846.9   8.6    1.0  1  0000000740   
          0 2846.5   8.6          0 2846.1   8.6    1.0  1  0000000741   
          0 2820.8   3.7          0 2820.6   3.7    1.0  1  0000000701   
          0 2810.5   1.7          0 2810.3   1.7    1.0  1  0000000720   
          0 2803.6   4.5          0 2803.3   4.5    1.0  1  0000000717   
          0 2795.7   5.3          0 2795.4   5.3    1.0  1  0000000716   
          0 2779.7   0.9          0 2779.3   0.9    1.0  1  0000000722   
          0 2755.1   9.9          0 2754.9   9.9    1.0  1  0000000721   
          0 2708.1   0.0          0 2707.9   0.0    1.0  1  0000000728   
          0 2685.4   0.0          0 2684.4   0.0    1.3  1  0000000724   
          0 2676.9   0.0          0 2676.7   0.0    1.0  1  0000000727   
          0 2672.9   0.0          0 2672.3   0.0    1.2  1  0000000726   
          0 2658.2   0.0          0 2658.0   0.0    1.0  1  0000000723   
